tt0041959,The Third Man (1949),"London Film Studios, Shepperton, Surrey, England, UK",studio studio: produced at,51.3922201,-0.4423357
tt0056172,Lawrence of Arabia (1962),"Chobham Common, Surrey, England, UK",where Lawrence falls off motorcycle,51.36662639999999,-0.6063856
tt0056172,Lawrence of Arabia (1962),"St. Paul's Cathedral, Ludgate Hill, London, England, UK",funeral,51.5138453,-0.0983506
tt0056172,Lawrence of Arabia (1962),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.40664169999999,-0.4643616
tt0062622,2001: A Space Odyssey (1968),"Shepperton Studios, Shepperton, Surrey, England, UK",studio,51.40664169999999,-0.4643616
tt0066921,A Clockwork Orange (1971),"Binsey Walk, Southmere Lake, Thamesmead South, London, England, UK",Alex puts Dim in water,51.498803,0.1221915
tt0066921,A Clockwork Orange (1971),"Brunel University, Uxbridge, Middlesex, England, UK",Ludovico Medical Facility,51.53315809999999,-0.4692108
tt0066921,A Clockwork Orange (1971),"Wandsworth Bridge Roundabout, Wandsworth, London, England, UK",underpass where the tramp is attacked,51.4682389,-0.1908327
tt0066921,A Clockwork Orange (1971),"Bricket Wood, Hertfordshire, England, UK",Peartree Woods on the Viscount Knutsford Estate - Alex is beaten up by police,51.7073923,-0.366965
tt0066921,A Clockwork Orange (1971),"Chelsea Drugstore, Kings Road, Chelsea, London, England, UK",record shop,51.4898049,-0.1627837
tt0066921,A Clockwork Orange (1971),"Blenheim Mews, Shenley, Hertfordshire, England, UK",Cat Lady,51.6952918,-0.2912382
tt0066921,A Clockwork Orange (1971),"Elstree, Hertfordshire, England, UK",Alex's flat: Municipal Flat Black 18A, Linear North,51.644142,-0.298193
tt0066921,A Clockwork Orange (1971),"Manor Lodge School, Rectory Lane, Ridge Hill, Shenley, Hertfordshire, England, UK",Catlady's house,51.70637499999999,-0.261847
tt0066921,A Clockwork Orange (1971),"Taggs Island, Kingston-upon-Thames, London, England, UK",Billyboy gang fight,51.4091584,-0.3519559
tt0066921,A Clockwork Orange (1971),"Bullhead Road, Elstree Studios, Borehamwood, Hertfordshire, England, UK",Korova Milk Bar/prison check in/F. Alexander's bathroom and hallway,51.6580868,-0.269287
tt0066921,A Clockwork Orange (1971),"Princess Alexandra Hospital, Harlow, Essex, England, UK",hospital scene at the end of the film,51.77134299999999,0.08630349999999999
tt0066921,A Clockwork Orange (1971),"Shipton Under Wychwood, Oxford, Oxfordshire, England, UK",exterior: F. Alexander house,51.859378,-1.596189
tt0066921,A Clockwork Orange (1971),"Wandsworth Prison, Heathfield Road, Wandsworth, London, England, UK",Parkmoor Prison: exterior,51.4500051,-0.1775711
tt0066921,A Clockwork Orange (1971),"Lecture Centre, Brunel University, Uxbridge, Middlesex, England, UK",Ludovico Medical Facility,51.53315809999999,-0.4692108
tt0066921,A Clockwork Orange (1971),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",studio,51.54749229999999,-0.5346548999999999
tt0066921,A Clockwork Orange (1971),"Edgwarebury Hotel, Barnet Lane, Elstree, Hertfordshire, England, UK",Alex leaps from window,51.6392623,-0.2897662
tt0066921,A Clockwork Orange (1971),"Friar's Square, Aylesbury, Buckinghamshire, England, UK",Shopping Complex - scene unused,51.8158834,-0.8127367999999999
tt0066921,A Clockwork Orange (1971),"Nettleford Hall, West Norwood Library, West Norwood, London, England, UK",Alex humiliated in press conference,51.43279860000001,-0.1041853
tt0066921,A Clockwork Orange (1971),"Southmere Lake, Thamesmead South, London, England, UK",Flat Block Marina,51.5001583,0.1258291
tt0066921,A Clockwork Orange (1971),"Woolwich Barracks Prison, Woolwich, London, England, UK",Parkmoor Prison: interior,51.4944824,0.088539
